Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,calories (product.metafields.custom.calories),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
famous-cherry-grip-socks,Famous Cherry Grip Socks,"<p>This is our famous cherry.</p>
<p>Our grip socks are made out of a high percentage of cotton and the designs are embroidery all made with love and bought to you by Pilates society.</p>",BodyBar,Apparel & Accessories > Clothing > Socks,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/IMG_3923.jpg?v=1744896000,1,"",false,,,,,white,cotton,,,unisex,,kg,,,active
i-m-tired-angel-grip-socks,“I’m Tired” Angel Grip Socks,"<p>“I’m tired,” angel. This grip sock design is made for when you want to workout but you are feeling a little lazy. </p>
<p>Our grip socks are made out of a high percentage of cotton and the designs are embroidery all made with love and bought to you by Pilates society.</p>",BodyBar,Apparel & Accessories > Clothing > Socks,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/IMG_3917.jpg?v=1744895897,1,"",false,,,,,white,cotton,,,unisex,,kg,,,active
coffee-lover-pack-grip-socks,Coffee Lover Pack Grip Socks,"<p>Our coffee lover pack, the grip socks are made out of a high percentage of cotton, and the designs are embroidered all made with love and bought to you by Pilates society.<br></p>",BodyBar,Apparel & Accessories > Clothing > Socks,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,10,deny,manual,100.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0853/2331/7570/files/IMG_3915.jpg?v=1744895787,1,"",false,,,,,white,cotton,,,unisex,,kg,,,active
frio-classic-sparkling-water-1,FRIO CLASSIC SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,20.00,,true,true,,,,,0 767461 174496,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.49.44PM.png?v=1736164192,1,"",false,,,,,,,,,,,kg,,,active
frio-lemon-sparkling-water-1,FRIO LEMON SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,42.00,,true,true,,,,,0 745110 769507,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.48.36PM.png?v=1736164124,1,"",false,,,,,,,,,,,kg,,,active
frio-grapefruit-sparkling-water-1,FRIO GRAPEFRUIT SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,42.00,,true,true,,,,,0 745110 769514,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.47.51PM.png?v=1736164080,1,"",false,,,,,,,,,,,kg,,,active
frio-coconut-sparkling-water-1,FRIO COCONUT SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,42.00,,true,true,,,,,0 745110 769521,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.46.28PM.png?v=1736163997,1,"",false,,,,,,,,,,,kg,,,active
frio-strawberry-sparkling-water-1,FRIO STRAWBERRY SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,42.00,,true,true,,,,,0 745110 769538,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.45.28PM.png?v=1736163936,1,"",false,,,,,,,,,,,kg,,,active
frio-classic-sparkling-water,FRIO CLASSIC SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,3.50,,true,true,,,,,0 745110 672708,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.43.44PM.png?v=1736163832,1,"",false,,,,,,,,,,,kg,,,active
frio-grapefruit-sparkling-water,FRIO GRAPEFRUIT SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,7.00,,true,true,,,,,0 745110 672746,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.42.22PM.png?v=1736163750,1,"",false,,,,,,,,,,,kg,,,active
frio-strawberry-sparkling-water,FRIO STRAWBERRY SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,7.00,,true,true,,,,,0 745110 672746,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.41.15PM.png?v=1736163684,1,"",false,,,,,,,,,,,kg,,,active
frio-lemon-sparkling-water,FRIO LEMON SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,7.00,,true,true,,,,,0 745110 672739,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.39.51PM.png?v=1736163600,1,"",false,,,,,,,,,,,kg,,,active
frio-coconut-sparkling-water,FRIO COCONUT SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,7.00,,true,true,,,,,0 745110 672715,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.38.08PM.png?v=1736163496,1,"",false,,,,,,,,,,,kg,,,active
bilingual-isolate-gf-choc-bliss-1-64lb,Bilingual ISOLATE GF CHOC BLISS 1.64LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068672,907.18474,,0,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-v-van-3-5lb,Bilingual PLATINUM HYDRO V VAN 3.5LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927066791,1814.36948,,0,deny,manual,301.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-v-van-1-75lb,Bilingual PLATINUM HYDRO V VAN 1.75LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068719,907.18474,,0,deny,manual,165.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-tur-choc-1-75lb,Bilingual PLATINUM HYDRO TUR CHOC 1.75LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068733,907.18474,,0,deny,manual,165.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-tur-choc-3-61lb,Bilingual PLATINUM HYDRO TUR CHOC 3.61LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927066784,1814.36948,,0,deny,manual,301.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
